Element                 	Size of Isomorphism Class
3+2a                     	1
3+2a                + bab	114
3+2a                +2bab	114
3+2a           + aba     	2
3+2a           +2aba     	1
3+2a       + ab          	6
3+2a       + ab+ aba     	6
3+2a   + ab              	6
3+2a   + ab    + aba     	6
3+2a+ b                  	256
3+2a+ b             + bab	256
3+2a+2b                  	128
3+2a+2b             + bab	128

284elements
